scenario,strategy,metric,mean,std,median,min,max
periodic,Sequential,detection_probability,0.9263243470365055,0.02455371811051003,0.9409722222222222,0.8823529411764706,0.9565217391304348
periodic,Sequential,false_alarm_probability,0.06921888224291338,0.007528737003259465,0.07272994416691154,0.05063291139240506,0.07792207792207792
periodic,Sequential,interception_ratio,0.3168001773420621,0.07640649273384766,0.3103517524204118,0.15348837209302327,0.4647887323943662
periodic,Sequential,average_intercept_delay,19.12375843184544,3.8023854499427823,20.47121147260274,13.212121212121213,24.906666666666666
periodic,Sequential,average_reward,0.1205,0.02704285098641939,0.12,0.05,0.16
periodic,Sequential,coverage,1.0,0.0,1.0,1.0,1.0
periodic,Random,detection_probability,0.9571125140769103,0.05316224819190671,0.9772727272727273,0.8421052631578947,1.0
periodic,Random,false_alarm_probability,0.07001740792089849,0.01495538044039277,0.07228915662650602,0.02564102564102564,0.09333333333333334
periodic,Random,interception_ratio,0.34300257762452113,0.06236110286984085,0.34752415458937197,0.22641509433962265,0.4336734693877551
periodic,Random,average_intercept_delay,24.07807013199402,4.839234438735101,23.659302325581393,15.46,34.19178082191781
periodic,Random,average_reward,0.1135,0.04003616785910092,0.11,0.05,0.19
periodic,Random,coverage,0.9875,0.022213082915965982,1.0,0.95,1.0
periodic,Adaptive,detection_probability,0.9599328248920157,0.026704043958198864,0.9636243386243386,0.9032258064516129,1.0
periodic,Adaptive,false_alarm_probability,0.07460504204470514,0.007582194949182243,0.07352941176470588,0.05555555555555555,0.08955223880597014
periodic,Adaptive,interception_ratio,0.13254660296268966,0.05292958035465528,0.12743961352657004,0.05092592592592592,0.24568965517241378
periodic,Adaptive,average_intercept_delay,12.114903078854647,7.011955108373601,10.662962962962963,2.6923076923076925,24.350877192982455
periodic,Adaptive,average_reward,0.217,0.048242806935880414,0.23,0.08,0.29
periodic,Adaptive,coverage,1.0,0.0,1.0,1.0,1.0
periodic,Smart Adaptive,detection_probability,0.9497197524390261,0.040468529836586255,0.945906432748538,0.875,1.0
periodic,Smart Adaptive,false_alarm_probability,0.07314413504947838,0.010889490990497677,0.07317073170731707,0.04938271604938271,0.09333333333333334
periodic,Smart Adaptive,interception_ratio,0.28348924132407205,0.06339115297551867,0.26717171717171717,0.2028301886792453,0.41379310344827586
periodic,Smart Adaptive,average_intercept_delay,23.372483331179506,3.3498659786844067,23.686564736499676,17.29090909090909,31.38095238095238
periodic,Smart Adaptive,average_reward,0.136,0.03485307507387638,0.13,0.08,0.23
periodic,Smart Adaptive,coverage,1.0,0.0,1.0,1.0,1.0
bursty,Sequential,detection_probability,0.9374801891578207,0.05288843230756409,0.9409722222222222,0.8333333333333334,1.0
bursty,Sequential,false_alarm_probability,0.0691999391736235,0.011058912184740628,0.06976744186046512,0.04938271604938271,0.08860759493670886
bursty,Sequential,interception_ratio,0.40225913653614814,0.07589870391446572,0.39851485148514854,0.2677595628415301,0.5853658536585366
bursty,Sequential,average_intercept_delay,23.785251647405556,2.9442491808718305,23.99022988505747,18.808988764044944,29.47887323943662
bursty,Sequential,average_reward,0.124,0.041472882706655445,0.12,0.08,0.21
bursty,Sequential,coverage,1.0,0.0,1.0,1.0,1.0
bursty,Random,detection_probability,0.9490224486318753,0.04416721643760141,0.950956937799043,0.8571428571428571,1.0
bursty,Random,false_alarm_probability,0.0708777616708132,0.010785480073386882,0.07233115468409586,0.0379746835443038,0.08536585365853659
bursty,Random,interception_ratio,0.3995454201645007,0.07914978925969633,0.40540181589877333,0.2731707317073171,0.5804878048780487
bursty,Random,average_intercept_delay,23.700859531388488,3.2428754109971702,23.08955326460481,18.896551724137932,29.410714285714285
bursty,Random,average_reward,0.1425,0.05128609127136457,0.15,0.05,0.23
bursty,Random,coverage,0.9875,0.022213082915965982,1.0,0.95,1.0
bursty,Adaptive,detection_probability,0.9501909522751307,0.040926315877052616,0.95,0.8823529411764706,1.0
bursty,Adaptive,false_alarm_probability,0.0696299010665447,0.015025221800873094,0.07050538525269262,0.038461538461538464,0.0945945945945946
bursty,Adaptive,interception_ratio,0.181416866067236,0.0468828875631293,0.18433718371837182,0.07653061224489796,0.2512315270935961
bursty,Adaptive,average_intercept_delay,14.814531307827627,4.717410764372474,15.24953095684803,5.526315789473684,22.88095238095238
bursty,Adaptive,average_reward,0.1465,0.05081183036718081,0.14500000000000002,0.05,0.23
bursty,Adaptive,coverage,1.0,0.0,1.0,1.0,1.0
bursty,Smart Adaptive,detection_probability,0.9449425479366556,0.042516129669290886,0.9428104575163399,0.8823529411764706,1.0
bursty,Smart Adaptive,false_alarm_probability,0.07834202874012151,0.01569668461364889,0.07851522408484435,0.041666666666666664,0.10144927536231885
bursty,Smart Adaptive,interception_ratio,0.3268334896280041,0.059013653015553134,0.3252733785822021,0.22522522522522523,0.49
bursty,Smart Adaptive,average_intercept_delay,23.76849127713935,3.042121821022995,23.55987292277615,18.972972972972972,32.301587301587304
bursty,Smart Adaptive,average_reward,0.144,0.043576913250264214,0.14,0.09,0.23
bursty,Smart Adaptive,coverage,1.0,0.0,1.0,1.0,1.0
mixed,Sequential,detection_probability,0.9335603459072234,0.02902173911960534,0.9277003484320558,0.8918918918918919,1.0
mixed,Sequential,false_alarm_probability,0.0621752511320017,0.014684404457260691,0.06299603174603174,0.034482758620689655,0.08620689655172414
mixed,Sequential,interception_ratio,0.6562497276043142,0.06015340529864823,0.6591013253767082,0.5242424242424243,0.7648809523809523
mixed,Sequential,average_intercept_delay,21.91517126932661,2.9392402800703477,21.535119047619048,16.890173410404625,28.880733944954127
mixed,Sequential,average_reward,0.315,0.03546681176596094,0.32,0.25,0.37
mixed,Sequential,coverage,1.0,0.0,1.0,1.0,1.0
mixed,Random,detection_probability,0.9446834967661755,0.022250093223328837,0.945906432748538,0.9142857142857143,0.975609756097561
mixed,Random,false_alarm_probability,0.07532156788068865,0.02162822558851588,0.07752403846153846,0.028985507246376812,0.11864406779661017
mixed,Random,interception_ratio,0.5680130564007339,0.05109984474153736,0.5475359959692265,0.5108359133126935,0.7082066869300911
mixed,Random,average_intercept_delay,21.13293291760899,2.193940377568124,21.330882352941174,16.275862068965516,25.136363636363637
mixed,Random,average_reward,0.312,0.034732057086698506,0.31,0.26,0.39
mixed,Random,coverage,0.9875,0.022213082915965982,1.0,0.95,1.0
mixed,Adaptive,detection_probability,0.9550466153997172,0.028664145834650746,0.9565217391304348,0.9152542372881356,1.0
mixed,Adaptive,false_alarm_probability,0.06704620638835994,0.022183621660542992,0.06594202898550725,0.03571428571428571,0.12
